CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H4GA12077,"JONES, RASHAAD",C,1,DEMOCRAT,11730.0,0.0,11730.0,0.0,0.0,0.0,0.0,8250.0,0.0,3576.67,0.0,0.0,3480.0,GA,12,0.0,0.0,06/30/2023,0.0,0.0
H2GA12121,"ALLEN, RICHARD W",I,2,REPUBLICAN,1224020.6,0.0,908308.25,0.0,859244.31,1174956.66,0.0,0.0,0.0,0.0,0.0,1639945.28,626892.66,GA,12,594650.0,0.0,12/31/2024,4003.29,0.0
H2GA13012,"SCOTT, DAVID ALBERT",I,1,DEMOCRAT,1213689.84,0.0,1675775.09,0.0,636609.93,174524.68,0.0,50000.0,0.0,0.0,0.0,52350.0,77358.17,GA,13,1086300.01,0.0,12/31/2024,2000.0,7700.0
H2GA13087,"BAKER, MARK",C,1,DEMOCRAT,0.0,0.0,350.0,0.0,3772.76,3422.76,0.0,0.0,0.0,0.0,0.0,107000.0,0.0,GA,13,0.0,0.0,03/31/2024,0.0,0.0
H4GA02110,"KAMA, ULOMA S. DR.",C,1,DEMOCRAT,54190.77,0.0,23086.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23589.45,GA,13,0.0,0.0,06/25/2024,0.0,0.0
H4GA13091,"RENE, KAREN",C,1,DEMOCRAT,67020.0,0.0,50655.39,0.0,0.0,16364.61,0.0,0.0,0.0,0.0,0.0,0.0,67020.0,GA,13,0.0,0.0,03/31/2024,0.0,0.0
H0GA04148,"CRUZ, JOHSIRA",C,2,REPUBLICAN,5550.0,0.0,5772.63,0.0,0.0,-222.63,0.0,3700.0,0.0,0.0,0.0,12689.61,1850.0,GA,13,0.0,0.0,06/30/2024,0.0,0.0
H4GA14032,"BRYANT, BART ALEXANDER MR",C,1,DEMOCRAT,5789.77,0.0,1468.35,0.0,0.0,1094.72,120.0,0.0,0.0,0.0,0.0,0.0,5729.77,GA,14,0.0,0.0,02/14/2024,0.0,0.0
H4GA14057,"HARRIS, SHAWN",C,1,DEMOCRAT,3529948.79,0.0,3534244.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3496842.07,GA,14,33086.72,20.0,12/31/2024,8849.78,0.0
H4GA14065,"LEIGH, JOSEPH",C,1,DEMOCRAT,19419.16,0.0,19419.16,0.0,0.0,0.0,3309.0,9060.0,0.0,650.49,0.0,0.0,7050.0,GA,14,0.0,0.0,12/20/2024,9.0,0.0
H4GA14081,"HOUSTON, DERIC",C,1,DEMOCRAT,7032.75,0.0,7385.5,0.0,0.0,-1493.23,0.0,0.0,0.0,0.0,0.0,0.0,7032.75,GA,14,0.0,0.0,06/30/2024,0.0,0.0
